,旅行者类型,昵称,地区,时间,标题,评论
73,家庭,stanksh4food,香港,2015年2月1日,带给小朋友及大朋友的欢乐,"圣诞假期, 就是一家大细出游的好日子, 而我们就由暑假讲到圣诞, 说要陪小孩去, 长隆, 一游, 结果, 我们在冬至前的一个周末实现了, 旅行团简介说一次过玩晒番禺三大乐园, 而首先到的, 就是此行的主角, 长隆野生动物世界, 又名, 香江野生动物世界, 当我们的旅游巴驶到园区的最深处, 来到了售票处, 而这就是我们是次旅程的主要目的地的大门口了, 导游把门票弄好给我们, 就立即是园内的自由活动时间, 而第一时间, 当然是进入他们的野生动物园区, 而要入该处, 就一定要乘坐园内的小火车, 或若有国内朋友驾车来, 自己开车入园更不受时间的限制, 由于国内的真人, 电视节目, 爸爸去那儿, 的拍摄取景地点就是, 长隆, 所以他们就充份地利用他们, 令到园内的处处, 都充满了他们的海布, 强制性宣传, 列车一转弯, 就有好多动物看了, 每到一个有动物观赏的地点, 列车就会停留长一点的时间, 整个车程大概, 分钟, 不用行, 不用跑, 就能够观赏到世界各地的珍禽异兽, 整个小火车的旅程是最开心的, 我们一共坐了两次, 在第一个园区, 我们看见孔雀, 而当我们在第二之入园时, 孔雀开屏来迎接我们了, 熊出没注意, 看了两次, 原本牠一见有车来, 便会企直向游客表示欢迎, 而在牠的角度下, 是人出没注意, 一有人出现, 就会企定定系度, 另外, 我们好想落车, 详细地检查一下, 这熊会否是人扮, 猛兽, 有凶猛的老虎, 而动物园的保护游客措施做得好好, 老虎的栖息地同行车的马路是隔有一段小距离的, 再者, 每一系列动物的园区, 都有一度闸间开, 以放老虎, 狮子, 狐狸, 狼, 豹等山凶猛的野兽去袭击游客及其他动物, 下一个园区, 是非洲的大草原区, 我们看见班马, 羚羊, 仲有长颈鹿, 仲有好多好多, 不过篇幅所限, 我冇理内放成百几张相于文中, 所以自说到这儿, 另外, 没有入镜的, 就是位于这非洲的大草原区的五间小屋, 原来是拍毕, 爸爸在那儿, 之后, 保留作为景的的, 更可爱的是, 五间小屋的门前, 均有主人父子俩的一比一纸板人像来化表进住过这屋, 游毕野生动物园, 我们就去步行参观的景区, 那时候, 儿子问, 这儿有没有, 的, 我们笑说, 而家冇, 架啦, 有的话只可以见到佢地既骨头, 不过, 真的如小朋友所愿, 他真的可以见到, 因为园内有这一个, 青龙山侏罗纪森林, 经过一段烟雾弥漫的通道, 再穿越一个叫做时光隧道的山洞, 我们就回到了, 侏罗纪, 首先, 迎接我们的, 是一台机器人, 这机械人很细心, 说园内的恐龙会吓人, 有心脏病, 同太年幼的小朋友要小心一点, 大人就知道, 这园区的东西全部是假, 不过非常迫真地, 园内所有的恐龙全都会动, 并会发出叫声, 有勇猛的角龙, 这一个把我的四岁小儿子吓到了, 他拉着我说, 爸爸我好惊呀, 我要走呀, 我回说他们不会咬人, 也不会食左你落肚, 之后他才战战兢兢地跟我们走, 后来他意识到是安全的, 恐龙是假的才安心地一齐行, 之后的有一个不知什么龙, 就真真正正地吓到人了, 若大家记得, 侏罗纪公园, 那一套电影, 这就是一口嘛出毒液, 麻痺了那件肥佬之后把其吃掉的那一只恐龙, 这儿的一只, 就会不定时, 向经过它的游人, 啧水, 我们花了太多时间在恐龙馆了, 所以我们并没有游毕整个园区, 而我们慢慢地步行, 慢慢地细赏不同的动物, 而猴子, 永远是动物员的主角, 而途中有一个小型剧场, 就是以小猴子为主, 表演各式各样的东西, 非常之精灵, 园内另有一个长颈鹿区, 是圈养的长颈鹿, 牠们特别的温驯, 也特别的亲切, 另外, 可以给大家喂鹿, 不过人民币, 元一支树枝, 长隆, 直头是, 因为要在外用餐同等待我们下一个环节, 长隆大马戏, 五点多便要出园了, 实在是未玩够, 不过, 玩了也有, 小时了, 是绝等的累, 出园上车休息同食晚饭, 是必须的, 况且, 在园内饮食, 是很很贵的, 很充实的半天, 孩子开心, 大人开心, 老人也开心, 我们一团, 三个家庭, 合共, 人当中有, 个小朋友, 可是开心"
74,家庭,458zhangx,广东省深圳市,2014年4月8日,非常差的管理,"因为下雨的原因, 我感觉园区的管理非常混乱, 没有服务, 没有管理, 没有对天气等自然环境的预见性, 没有对旅客的提示, 既然下雨接驳车的频次是否可以调整, 害得我们等车淋雨半个小时, 打电话与客服中心理论, 态度极其恶劣, 这样的景区真是糟糕透顶了, 不推荐大家去, 下雨了, 景区里面的雨衣, 元, 件, 成本也不过, 元, 非常单薄的塑料, 这分明是趁雨打劫"
75,家庭,JerryBeckham,香港,2013年6月4日,白虎非常珍贵,"这是一个规模宏大的野生动物园, 这是非常昂贵的, 所以你需要让大量的时间, 小, 火车, 大约需要, 分钟, 通过一个专门设计的部分澳大利亚的动物, 非洲大草原等去亲近欣赏狮子, 长颈鹿, 斑马等之后, 你可以步行穿过许多精心设计和美化地区, 如果你有孩子跟你警告说, 每一个领域都有其战略地位的礼品店, 进入地铁站, 广州南火车站是很容易的, 缺点是餐厅味道不好"
76,夫妻,andrewloc,澳门,2019年12月21日,丰富品种的动物园,"动物园内有很多不同种类的动物, 而且他们来自世界各地, 甚至于来自远古时代的生物, 你猜猜是什么, 你去的话就知道了, 园内有澳洲以外最大的树熊园地, 看见他们实在好有趣, 当中最令我印象深刻的就是大熊猫, 牠们得可爱, 也很搞笑, 其中, 园内也有好多与动物互动的机会, 游客可以自费参加, 交通方面, 旅客可坐地铁到广州南站坐, 号线到长隆站, 有接驳巴士送到动物园入口"
77,夫妻,WayH2121,香港,2018年12月26日,特大动物世界,"可以在这个园子里面逛上一天, 各种各样的表演, 亚洲森林, 非洲发现, 还是小火车带着去看动物世界, 还有缆车贯穿全园, 可以俯瞰动物, 非常丰富的体验"
78,夫妻,Foodinlife_,香港,2018年12月3日,非常值得黎既一个动物园,"长隆野生动物世界真的是大到一天都走不完, 动物园区入面仲有不同的喂饲区比游客同动物有超近距离既接触, 而且仲可以坐小火车睇到猛兽, 睇到车上既人都, 哗哗, 声, 我地同好多动物都好近距离, 如果系小火车上面有动物, 例如, 长颈鹿, 草泥马等走过黎系会掂到佢地的, 强, 强, 强, 强, 佢地既孟加拉虎好靓好有神, 而且听讲长隆有白虎既数量占左世界上既一半, 强, 强, 强, 强, 强, 强, 强, 佢地仲有全球唯一存活既熊猫, 胞胎, 熊猫们都好活泼好得意, 同香港果, 唔同, 香港果, 只系训, 哈哈, 呢度既熊猫系会周围走, 呢度真系好多野睇, 一张飞既价钱就可以睇到咁多动物, 同埋地方超爆大, 而且佢地仲有空中缆车, 可以一边坐缆车一边睇动物, 仲可以睇到长颈鹿个头顶呀, 哈哈, 带小朋友黎真系一流呀"
79,夫妻,boyang666,北京市,2018年5月27日,很不错的动物园,"动物种类丰富, 路线规划合理, 如果喜欢动物园, 来广州一定不要错过长隆, 大马戏也可以看看, 挺有意思的, 有时间推荐来玩一下"
80,夫妻,Exploration733351,香港,2018年4月2日,"动物种类多, 地方干净","园区内看见很多香港没有的动物, 跟动物们的距离很接近, 可以近看熊猫宝贝们滚来滚去, 地方很干净, 空中缆车体验不错, 可惜没赶上尾班野生区游览车时间, 没能更近距离观摩"
81,夫妻,GoPlaces24198136427,广西壮族自治区南宁市,2018年1月31日,长隆野生动物园,"年初陪宝贝广州之行的第二天, 人非常多, 但是动物园已经运行的相当成熟, 推荐是动物表演秀非常值得看, 动物的种类也非常多, 园区内消费比较高, 是否值得就见仁见智了"
82,夫妻,Kasev3v,香港,2018年1月11日,动物园,"长隆是个国际集团, 动物园管理也做得不错, 当中看动物的生活环境也受到保障, 如动物园做得好, 既可以照顾动物, 也可以推广有关动物及环境意念给人认识, 希望可以一直向良好的工作发展"
83,夫妻,Loukas谢杨,江苏省南京市,2018年1月10日,"印象深刻, 记得留足时间","这应当是国内最好的近距离接触野生动物的地方了, 个人感觉适合所有年龄人群, 园区有非常好的规划, 曲径通幽, 各种动物的展示一环扣一环, 安排非常合理, 各个动物展示区均有专业讲解员为游客进行介绍, 细致, 耐心, 是非常难得的把服务放在重要位置上的景点, 难怪开业二十年依然人流如织, 这里的动物种类和数量以及展示方式都令人印象深刻, 空中俯瞰, 近距离接触, 互动体验紧密结合, 园区虽然很大, 但空中缆车既是游园方式也是一种休闲, 所以逛完一整天也不算太累, 与一般动物园不同, 这里提供全方位了解动物成长, 生活的机会, 你甚至可以走进喂养小老虎的温室, 只是一定记得早一点入园, 近距离观赏动物的小火车和空中缆车到四点多就不再接受乘坐, 我们, 点半从长隆酒店搭穿梭巴士过来, 点半出来, 看得比较仔细, 还喂食了动物, 感觉时间有些紧张, 小火车没来得及坐, 另外, 园区内的餐饮水平实在不敢恭维, 景点内食品价格高一些可以理解, 但可否提升一下品质, 园区的其他方面都恨用心, 因此我们感到在这里消费休闲心情非常愉快, 只是餐食, 难吃到只能浪费, 实在于心不忍, 我想餐饮服务的水平应当是衡量游园品质的重要因素把"
84,夫妻,308788848,香港,2017年8月21日,一个字好玩,"广州长隆野生动物世界, 被誉为, 中国最具国际水准的国家野生动物园, 是全世界动物种群最多, 最大的野生动物主题公园, 是全国首批国家级, 旅游景区, 地处广州番禺, 以大规模野生动物种群放养和自驾车观赏为特色, 且拥有华南地区亚热带雨林, 大面积原始生态, 拥有各种珍奇动物, 占地, 多亩, 园内绿树成荫, 感觉比市区气温低些, 但在立秋后的, 月, 还是, 骄阳似火, 我们是由广州大道南过洛溪大桥, 经钟村, 国道抵达野生动物园的, 公里, 半小时多壹点的车程, 由于是在网上购买了年卡, 所以要去进行壹系列的验证, 照相, 留指纹后才能进园, 进园后看了孔雀就直奔空中览车了, 以前要另外买票的, 七月起全免费了, 看了卡卡虎后又去座小火车, 都睇左好多动物, 就不壹壹说了, 由于是买了年卡, 有时间可以多次来玩, 所以也不急啊, 暑假, 真的很多家长带小朋友来玩, 到处都, 人山人海"
85,夫妻,linglingpat,香港,2017年8月9日,管理不错,"原来有二万多只动物, 没有任何臭味, 地方清洁, 提供免费缆车和小火车服务, 放便老人家和小朋友欣赏动物, 原来提供多个洗手设施, 不过暑假期间游人太多天气太热"
86,夫妻,Fkricheesse,2,2017年7月20日,朋友出游好去处,"一大群朋友去的, 特别好玩, 先去坐个小火车转一圈, 再自己逛逛, 熊猫, 河马, 长颈鹿这些都好可爱, 特别棒, 还有动物表演, 很精彩, 而且园区管理的很好, 很干净整洁, 买东西什么的也都很方便, 这个很好, 就是小摊不能微信支付就是了"
87,夫妻,amauw, ,2017年6月28日,游玩,"我没有坐小火车, 而是自驾, 车的票价与人相等, 动物也不是很多, 驾车区域也不是很大, 走走停停顶多也就个把小时时间, 还有步行游览区域, 里面有熊猫, 白老虎, 考拉, 电影, 带小朋友游玩是个不错的选择"
88,夫妻,SiuMan,4912,2017年5月7日,中国最佳动物园,"住在广州天河, 前往长隆很方便, 地铁, 号线直达, 出站就有接驳车, 其实步行到入口也就, 分钟, 网络订票取票很方便, 入园后先是步行参观区, 动物很多, 每个展区都有工作人员解说, 这点很喜欢, 园内的表演很精彩, 只是时间的安排, 导致我们需要不停的走回头路, 这个很耗费体力, 午餐在园内解决, 比较一般, 但是可以吃饱, 下午坐车游览, 特别喜欢最后的那片大草原, 很壮观"
89,夫妻,liulin5460,香港,2017年5月4日,开心得一天,"动物园非常非常大, 设施齐全, 适合全家人一起游玩, 我去的那天碰巧广州许多学校的中小学生在动物园春游, 览车没开, 园内分步行区和乘车游览区, 可自驾, 很方便"
90,夫妻,alex1121,2,2017年3月23日,,"真的是很美好的原, 很大, 人很多, 动物也很多, 好多中国人和外国人都可以仔里面遇到, 很不错的动物园, 很好的动物园拉, 再来"
91,夫妻,wenshao, ,2017年3月9日,动物园,"周末, 友人带小孩顺便捎上我去了动物园, 难得看见孔雀开屏很是兴奋, 然而仔细观察孔雀的翅膀都被剪短了, 有几根已经折断, 不但只是孔雀, 火烈鸟, 还有那种我忘记名字的鸟, 莫名的忧伤涌上心头, 想像一下, 当你失去自由, 并被永远関在一个地方, 你会有什么感受, 这个地球上却有许多动物在经历着人类不愿去想像但却又被默许的恶梦, 还它们自由, 不是更人道吗"
92,夫妻,chenyige2011217,北京市,2017年1月6日,很大的野生动物园,"这家野生动物园是我见过的国内最大, 珍惜品种最多的动物园, 这里不仅动物多, 服务人员也很好, 动物和工作人员的友谊也很深厚, 随走随能见到各种动物和工作人员的亲昵举动, 感觉很有爱, 在这里能充分感觉到动物和人之间的和平共处, 让每一个来这里的人都有一种更加热爱动物的热情, 这个动物园不错, 值得推荐"
93,夫妻,284868734,广东省广州市,2016年12月6日,好玩,"听闻长隆野生动物园已久, 一直没有去过, 据说比我大秦岭的野生动物园好太多, 最近宝宝对动物挺感兴趣的, 周五加周末就带着去认识一下真正的动物, 朋友开车带我们自驾去了野生动物区域, 如果不选择自驾也可以选择坐园区的小火车, 不过个人感觉自驾比较好, 在每一个动物区域都可以停留拍照, 动物大多数在右边, 自驾车也是靠右行走, 小火车速度比较快, 有时自驾车会挡上小火车的视线范围, 完了就可以步行逛整个园区了, 整个动物园的动物种类非常多, 单个品种的数量也很多, 在秦岭野生动物园只能看到几只的动物, 在这儿都是一群群的出现, 入口处有各种表演的时间段, 进门前拍成照片可以安排好时间看表演, 进去不能带吃的和喝的, 小孩的水杯可以装一瓶水, 试喝一下, 进去以后有租宝宝推车的, 建议如果带小朋友的一定要租个推车, 否则后面大人小孩都累, 我们开始步行试十二点左右, 逛到下午五点左右出来, 如果小孩大一点可以看看晚上的大马戏, 据说非常值得一看"
94,夫妻,944sama, ,2016年11月28日,国内顶级动物园,"动物种类很多, 有号称全世界最大的白虎繁育基地, 比较适合亲子游, 园区很大, 走起来比较累, 如果能有免费的接驳车就好了, 现时的电动车是要, 元不等的车票, 野生动物观光车不错, 免费坐车在野生动物园区游览"
95,夫妻,hasen315,浙江省杭州市,2016年11月2日,很喜欢长颈鹿,"长隆野生动物园里面设施比较好, 这一点让我觉得很舒服, 南门是动物园的正门, 这里有个小贴士, 最好是先去北门坐小火车, 然后从北门一直玩儿到南门, 由于动物表演场地多数集中在南门, 而且是中午的时间开始表演, 这样的安排不走回头路"
96,夫妻,washor,广东省广州市,2016年6月5日,作为国内的野生动物园还不错,"园内设施很好, 也很干净, 动物种类也挺多, 不过没有想象中的大, 一天逛下来加上表演时间看下来差不多, 之前期待的小火车之旅感觉有点走马观花, 如果是自驾进去参观会更自由但是千万不要选在假期, 会堵车, 动物表演有的还行, 像大象表演, 花果山表演, 最后那个表演结束最晚的那个没什么看点, 另外园区不让带吃的, 里面东西有点贵, 另外, 那个大熊猫真的超级可爱, 推荐重点参观"
97,夫妻,benfy903, ,2016年5月13日,要用一天的动物园,"园区分左好多地方, 可以同小朋友玩一整天, 比较特别系可以坐游览车近距离睇动物, 当时去仲会见到内地节目, 爸爸去那儿, 拍摄场地, 园方仲保留住当时啲明星住既地方"
98,夫妻,Tour52673172528,河北省,2016年5月11日,奇妙世界,"强烈推荐大家去看大象表演以及蛇窟, 对了, 还有我最最喜欢的猫头鹰, 真的超级萌的猫头鹰, 推荐进去租车, 不然走完下来, 脚肯定受不了啦, 当晚走完就去做了"
99,夫妻,Go807910,台北市,2015年12月28日,非常好的動物園,"園區非常漂亮, 舒適, 走在裡面非常的輕鬆愉快, 動物總類跟數量很多, 各項表演非常的精彩, 門票稍貴, 但是一分錢一分貨, 算很值得, 和女友在動物園內度過了非常開心的下午, 很推薦這個景點, 長隆遊樂園區內接駁車班次較少, 而且要擠車出去地鐵站, 這是唯一缺點"
100,夫妻,plchwpi,"广州市, 广东省",2015年12月2日,一个超级大野生动物园,"这个动物园最值得看就是白老虎, 其他的地方的动物院是看不到的, 如果有钱一点的话还可以进去向白虎小宝贝喂奶的"
101,夫妻,Culture807394,台北市,2015年12月1日,"長隆野生動物世界馬戲團, 和野生動物親密接觸, 看到出演大戲","讓您和全球各地野生動物親密接觸, 又觀看動物和人配合出演的大戲, 帶給你更多新奇體驗, 廣州廣州長隆野生動物園, 國際馬戲團表演套票組合購買更優惠"
102,夫妻,IreneMu85,伊利诺伊州芝加哥,2015年11月15日,长隆野生动物园门票价格不菲,"在美国看野生动物基本免费, 回来去广州长隆玩, 发现这里的票都超级贵, 而且人特别多, 动物每隔一段时间会有表演, 我很不喜欢这种对待动物的方式, 似乎那些可怜的野生动物只有完成表演才可以获得他们的食物, 乘小火车游非洲动物区还算是可以的, 可以从远处看看它们, 有解说员解说, 解说员的水平参差不一样, 因为我不是第一次坐那个小火车明显觉得这次男解说员没有上次来女解说解说的好, 不过长隆算得上带孩子游玩的好出去, 好"
103,夫妻,Global806821,广东省广州市,2015年4月20日,广州的周边好去处,"位置虽然在郊区, 但交通也算便利, 地铁能直达, 动物种类很丰富, 动物爱好者表示百去不厌, 最喜欢猩猩包包, 萌翻了, 晚上还有大马戏可以看哦"
104,夫妻,PickyTravelller,辽宁省大连市,2015年4月2日,"很大, 动物很多, 逛起来有些累","去长隆动物园的时候正好是综艺节目, 奇妙的朋友, 热播, 借着节目, 长隆动物园也着实火了一把, 去了大概一天, 也没能完全逛完, 动物很多, 包括珍稀的熊猫, 考拉等等, 但是设计的有些太爱卖关子, 不能直接开门见山, 比如要看个熊猫三胞胎要绕很远很远, 看一些根本没意义的乱七八糟的东西, 另外动物表演也感觉一般, 没有大连森林动物园的好"
105,夫妻,meizaic,香港岛,2014年9月16日,野趣十足但职员欠佳的野生动物园,"粗眉仔一向对动物园没甚么好感, 但长隆野生动物世界内树木颇多, 跟野外颇为相似, 颇具野趣, 公园那么大, 要保养的树木非常多, 成本高, 入场费自然就贵了, 小火车是长隆的必游节目, 小火车, 其实是拖车, 在模拟野外行驶, 让游客能无阻隔地观赏动物, 但行车速度快, 而且距离颇远, 有些动物看得不清, 除了小火车, 还有些自驾的车子在这里行驶, 可能园方收客过于进取, 车多路窄, 自驾游两条线都极为塞车, 不如坐小火车好过, 长隆野生动物世界占地颇大, 以下是几处粗眉仔印象深刻的部份, 动物幼儿院, 幼儿园的, 主角, 是头刚出生不久的小白狮, 抱着影一次相盛惠三十人仔, 特别一提, 到处到没看见标价, 三十人仔, 是员工口头说的, 粗眉仔怀疑这不是园方的官方服务, 龙猫, 白老鼠和小熊猫柜, 玻璃上已有文字劝人不要拍玻璃, 但大部份人都视而不见照拍可也, 比没人性的猛兽更可怕, 更离谱的是, 职员即使看见, 亦没阻止, 长颈鹿园, 有个男人趁长颈鹿低头时掌掴牠, 之后急急脚遁去, 无赖到极点, 职员也看见了, 仍然没阻止, 无可否认, 长隆野生动物世界的设备和环境确是不错, 无奈职员没做好监管游客和保护动物的工作, 所以粗眉仔只把其评作三星, 唯望园方改善这点, 否则再怎么宣传都只能是, 国内品牌"
106,独自旅游,Curiosity22028870041,黑龙江省哈尔滨市,2017年11月28日,服务周到,"特意避开寒暑假, 节假日周一到达, 坐地铁到南门, 北门主要是自驾游, 北门地铁站, 口有一个小店, 能买各种面包和蛋糕, 还有热乎乎的咖喱鱼丸, 牛丸, 之类可以吃, 在长隆门口可以拍照, 安检会拿个小棒, 让你打开包检查一下, 但远没有机场严格, 水不限制, 不提供热水, 我带了个保温壶, 小孩子冬天去, 如果阴天还是需要点热水, 带点面包是不错的选择, 如果被发现了, 就需要把吃的寄存到大门口了, 买票进门后能租个婴儿推车, 元一天, 押金, 非常必要如果没有婴儿车的花, 院内无障碍设施很多, 非常方便, 庆祝长隆建园, 周年, 缆车小火车免费, 结果缆车, 小火车要不是小朋友睡着了就得不知道几次了, 以至于就看了几个动物, 就累了, 好像晚上, 点半有循游, 没看, 累, 带着四岁小朋友比较辛苦, 考拉院能够预约小小饲养员不知道如何预约, 总体来说非常开心, 整个感觉服务非常好"
107,独自旅游,Wanderer65666961508,浙江省温州市,2017年8月26日,很棒,"个人觉得是国内最棒的动物园了, 来广州很多次, 这是第一次来, 总的体验很棒, 不过真的应该选择秋天来的, 夏天有点太热了"
108,独自旅游,SamuelS4630,香港,2017年4月18日,好好睇的动物园,"要买套票先值得玩, 加上晚上又要睇马戏, 不妨日间来这里游览一下, 如果要玩完其他几个项目园区, 阁下真是要留宿"
109,独自旅游,Scenic11170818896,广东省广州市,2016年12月3日,动物离的好远,"根本摸不到动物, 都隔开好远, 大多数也就是普通常见动物, 算不上野生动物园吧, 多票价偏贵了, 很后悔, 还不如广州市动物园, 块票价值得, 长隆就是擅长做广告吧"
110,独自旅游,chiuyin1234, ,2016年10月1日,"小时候喜欢去广州动物园, 长大了去长隆动物园","小时候喜欢去广州动物园, 长大了去长隆动物园, 看着动物真的能让人放松心情, 不用去想太多, 一天的时间刚刚好, 现在捷运也方便了, 门票有点贵"
111,独自旅游,2716569509,广东省广州市,2016年9月9日,"不错, 越做越好","年前去过, 这次去的感觉的是有点在学习迪士尼的感觉, 蛮不错的, 自从爸爸去哪儿之后, 项目, 知名度提高了, 但同时的一些服务上的细节也降了, 没有那么自然了, 指的是服务态度方面"
112,独自旅游,Journey10966741384,黑龙江省哈尔滨市,2016年8月14日,自从看过保护野生动物的呼吁觉得动物园和马戏团都很残忍,"爸爸去哪儿之后火的不得了, 网上订票很方便, 动物真的离人很近, 动物也很乖, 饲养员都在附近, 各种剧场很火爆, 但是要提前计划好时间和路线, 尤其是带孩子出行, 里面吃东西喝水都不便宜, 一瓶矿泉水十块, 说说关于动物保护, 大家都很喜欢动物表演, 但是看完动物保护的宣传片才知道动物要做出那样的动作要遭受很多, 所以, 尽管这种地方很受欢迎, 孩子们也很喜欢, 但是也希望大家能够有动物保护的意识, 给动物更多的自由"
113,独自旅游,supershan001,121,2016年6月1日,种类繁多的动物,"月最后的一个周末自己一个人去了长隆野生动物园, 作为一个北方人, 很多南方可爱的动物都没有见过, 真的是太可爱了"
114,独自旅游,Excursion67977043686,辽宁省沈阳市,2016年5月15日,一个令我流连忘返的地方,"园区非常大, 动物种类特别多, 还跟土著人跳了舞, 最喜欢萌萌的大象和长颈鹿, 去看大熊猫的时候看见她在蹭痒, 别提有多搞笑了"
115,独自旅游,Trip07519133330,广东省广州市,2015年10月19日,热门景点广州站必去,"区别于广州动物园, 块的门票, 野生动物园的门票贵多了, 里面有分, 个馆, 除有熊猫考拉等稀有品种, 大部分能说得出来的动物都有, 分布比较广, 一天游基本上就是坐那个观光火车一趟下来就剩下走遍那为数不多的十几个馆吧, 反正动物园就是看动物的, 个人觉得一般般, 比较适合带儿童去增长见识, 建议在广州生活或工作的朋友可以把两个动物园都走走"
116,商务,broderickbill,加拿大多伦多,2018年3月14日,家庭快乐旅行,"只能用大来形容这家动物园了, 动物很多, 看上去都很精神很可爱, 平日去人不多, 建议平日去, 免得人挤人, 感觉像是动物看人, 小孩玩的很开心"
117,商务,megatronz2,广东省广州市,2018年1月20日,看动物,"长隆动物园里除了看动物, 可玩的项目很多, 包括大象, 白虎, 河马, 猴子等动物表演和儿童娱乐天地, 如果想把这些项目都玩壹遍, 壹定要早上壹开门就进去, 看好动物表演的时间, 合理统筹安排, 记不住也没关系, 园区内不停有广播提示, 另外长隆内的工作人员都超, 除了不免费提供热水外, 只给孩子冲奶粉供应热水, 其他的都是好评"
118,商务,luluWang2016,卢森堡卢森堡城,2016年11月14日,非常棒的动物园,"游览轻松且能与动物亲近, 环境非常干净整洁, 除了在象园比较臭之外其余都没有异味, 非常难得, 员工们都很热情耐心地为我们解说指路"
119,商务,VinciZhang,广东省广州市,2016年8月8日,自驾车游园很舒适,"提供自驾车游园方式, 坐在车里完成野生动物乐园部分的游览, 非常舒适, 只是不要在长假期前往, 否则人非常多, 需要等候的时间很长"
120,商务,Travel20132978403,北京市,2016年3月17日,忙里偷闲看动物,"爸爸去哪儿火了长隆, 本以为营销大于形式, 但是去了之后才感觉, 这基本是中国前三的动物园了, 动物都被照顾的很好, 园区很干净, 完全不用担心找不到馆, 落下哪几只没看到, 熊猫三胞胎是明星, 还有四毛, 我跟, 隔着玻璃玩了好久, 不知道下次去它还会不会记得我"
121,好友,PurpleH2,香港,2019年12月22日,充满趣味的乐园,"今年初往珠海长隆海洋皇国游玩, 入住最接近乐园的企鹅酒店, 这个乐园有多个主题区域, 以水悽动物为主, 也有海豹海象的剧场表演节目, 主题区内提供机动游戏, 玩得饿了也有不少餐廰提供各种美食, 这是个很适合亲子或全家一齐去游玩的乐园, 充满乐趣"
122,好友,susufire_6,广西壮族自治区阳朔县,2019年11月10日,很不错的景点,"广州长隆野生动物世界, 是几个长隆乐园之一, 来的游客很多, 听起来是野生动物世界, 但感觉没有上海野生动物园大, 不过布置的很紧凑, 而且还有空中缆车可观园景, 尤其路过熊猫馆, 能看到国宝懒洋洋的趴在专门的白色石头上, 进园可以先在天鹅湖站坐缆车, 小火车排队人太多, 到了熊猫乐园站下, 去, 影院看场好玩的, 电影, 最重要的是, 一定要先看好动物科普大讲堂的时间安排, 根据时间点去依次看各种动物演出和科普, 这些难得一见的动物依次出场, 甚至就在观众席的头顶上飞来爬去, 引起阵阵惊呼和欢笑, 有一位女观众上台回答长颈鹿的舌头有多长的问题, 它的舌头竟达, 厘米, 相当于一位成年人胳膊的长度, 当主持人告诉她正确答案并让她给大家演示一下长度时, 她吐出来自已的舌头, 直接笑场了, 如果有时间的话, 值的花一天时间好好游玩"
123,好友,ThomanL1,香港,2019年5月13日,好多动物,"我们在五月十一到访, 以酒店客身份进园, 睇了红鹤, 天鹅, 川金丝猴, 坐小火车欣赏斑马, 长颈鹿, 狮子, 老虎及圆镇之宝, 白老虎"
124,好友,bulijojo, ,2018年11月19日,半野生的野生动物园,"长隆野生动物世界位于长隆度假区之内, 离市区较远, 但有地铁直达, 有一半的内容和普通动物园相似, 剩下一半可以乘摆渡车近距离接触动物, 总的来说, 性价比不高"
125,好友,ys33351,台中市,2018年10月19日,有趣生动活泼的动物园区,"偌大的动物园, 在几经转车, 搭乘接驳公车抵达, 由南口入园, 如果是长隆酒店住客, 可以优先通关, 蛮不错的, 园区动物及导览都很适合大小朋友们一起, 推荐给大家"
126,好友,Daydream21366204122,广东省广州市,2018年5月30日,"长隆, 一个回归童心的地方","从南门入园后, 可以先相对悠闲地观赏非洲部落这边的动物, 比较推荐的有火烈鸟, 獴哥, 倭河马, 黑犀牛, 山魈等, 逛累之后去看两场精彩演出顺便休息一会, 的奇妙森林, 的河马剧场, 逛了一上午啦, 中午到熊猫餐厅吃午饭, 好好休息一下, 吃饱之后, 慢慢散步到长隆方舟剧场, 看, 场次, 演出结束后, 看一会附近的亚洲象, 就又可以观赏, 的大象剧场演出啦, 结束后沿着箭头所指的线路, 一路观赏大熊猫, 考拉, 长颈鹿, 鸵鸟, 小熊猫等明星动物, 最后到达百虎山, 看镇园之宝白虎跳水, 从青龙山上下来后, 沿红点描出的这条线路回到南门, 沿途可以观赏长隆最新打造的金猴王国, 和其他灵长类动物, 如猕猴, 狒狒, 长臂猿, 与它们打过招呼之后, 就可以从南门离开然后回家啦"
127,好友,caroltszting,香港,2018年5月18日,值得一去的地方,"长隆野生动物世界地方很大, 有不同种类的动物, 适合一家大小前来参观, 乎方亦干净, 不过入场人数太多, 排队的时间会比较长, 可能有一些较热门的参观点的轮候时间会很长"
128,好友,Beautiful_Mayday,香港,2018年4月18日,太多人,"周休二日二人同行, 结果一去到动物园巳想离开, 因实在太多人, 逼到要排队十多分钟才能坐小火车游园, 又要排队才能入熊猫馆, 真的是排队动物"
129,好友,TotoroH1, ,2018年4月8日,"动物非常可爱, 不过夏天太热有点懒懒的","月份去, 放暑假的小朋友已经都返学了, 所以没有太多人, 可以自驾入去慢慢看动物, 猛兽区会有一条河隔着, 不过天气还比较热, 所以它们都懒懒地趴在树荫下睡觉, 熊的话就挂在树上睡觉"
130,好友,kimnowitzki,香港,2018年2月10日,动物表演很好看,"长隆野生动物世界位于番禺区, 来这里最好预留一天的时间, 这里的动物表演很好看, 动物的种类很多, 很好逛"
