,旅游者类型,昵称,时间,日期
118,独自旅游,M93****48,2014-07-18,"强烈建议大家去看, 广州的警察帅气态度好, 可以沿路的问, 位置很好找, 带小孩和老人出游不错的选择"
119,独自旅游,streetguest,2014-07-14,"算是国内首屈一指的马戏表演, 旺季一定要提前订票, 否则后果自负, 吐嘈一下大马戏的门票, 这些年从, 块涨到了, 倍多啊"
120,独自旅游,E39****03,2014-07-02,"很好的, 很好的, 很好的, 很好的, 很好的, 很好的"
121,独自旅游,m83****85,2014-06-23,"头一次看到这么好的现场表演节目, 舞台布景, 灯光, 音响效果都是一流, 外国人表演的节目很有异域风情"
122,独自旅游,130****8510,2014-06-06,"长隆大马戏, 表演很精彩, 环球飞车, 还有搞笑的跳水杂技表演, 有互动, 很好玩"
123,独自旅游,nonono_ustc,2014-06-04,"很值得, 很大的地方, 跟电视上那种大表演一样的, 现场的感觉截然不同, 大人小孩都很开心, 非常适合朋友和家庭出游, 能住在园里就更好"
124,独自旅游,E29****74,2014-05-29,"白天先去鳄鱼公园看到很多漂亮的动物还有凶猛的鳄鱼表演, 下午, 点多就到大马戏看表演"
125,独自旅游,快乐天使888,2014-05-28,"年去看过一次大马戏, 好像那时候是, 元吧, 现在涨了好多了, 非常精彩, 坐前排说不定还能抢到小玩意, 音响效果很好, 很震撼, 演员大部分是国外来的, 好专业, 喜欢, 赞"
126,商务,享受生活2013,2016-03-13,"剧院演出的大马戏名气很大, 演员来自境外的居多, 而且货真价实, 剧场很大, 能容纳将近万人, 据说是世界上最大的马戏场, 座位不需要对号, 当然, 票除外, 因此要想从最理想的角度去欣赏马戏, 显然是越早入场越好, 演出是晚上, 开始, 每天都有, 剧场灯光效果很好, 舞美设计也不错, 注意, 拍照时一定不要用闪光灯"
127,商务,_BAID****5341,2017-04-22,"精美的舞台, 早早来占座, 两个小时的等待不觉得无聊, 大屏幕有演员介绍和长隆各个景点介绍"
128,商务,_wb1****082,2015-07-11,"门票三百, 但是物超所值了, 很多看的玩的了"
129,商务,acay,2014-07-27,"如果来到长隆欢乐世界, 不进马戏团就可惜了, 个人觉得来长隆必进的就是欢乐世界和大马戏了, 很赞"
130,商务,leohf,2014-06-18,"长隆国际大马戏非常精彩, 具有国际一流水准"
131,好友,M10****940,2015-05-16,"地铁, 口出, 过了天桥园区有免费大巴直接到马戏团门口, 尽量提前一个小时以上, 位置会好些, 绝对是值了, 舞台灯光效果赞, 传统的狮子老虎狗熊秋千圆环上下都有, 包装很好, 复古大气趣味刺激等等, 每样都有, 不过毕竟马戏团经典项目大概都是那些, 所以适合初次观看, 一辈子起码也该看一次, 马达加斯加, 里的熊骑摩托车也有"
132,好友,138****8531,2015-08-27,"非常精彩的演出, 来长隆不看这个觉得那肯定是会留有遗憾的, 散场后都意犹未尽哇, 编排的很有新, 节目内容也很丰富"
133,好友,规格高,2015-04-24,"对于票价和所表演的时间来对比, 票价太高, 表演太少, 适合城里小孩看, 也适合没见过动物需要学习动物的人去看, 对于动物保护者来讲, 这个不应该在有, 让动物回归本真吧"
134,好友,游游女神,2014-11-22,"就如标题所言, 不是什么马戏, 就是杂技, 所谓马戏就是, 一段时间后, 一些动物走个过场, 杂技内容来说, 没有一个够得上春晚的资格, 不算国内或来国内表演的最好的杂技团, 也就省级水平, 相对国庆票价就不值了, 骗骗没见过世面的"
135,好友,爱上717,2014-11-08,"大剧院拥有全球最大的专业马戏表演场, 能够接待, 名观众同时观看演出, 还是不错的地方, 值得推荐一下"
136,好友,上海音然,2014-10-23,"一个场面宏大的演出, 实景式的森林, 小山, 溪流, 小船, 动物与众多森林精灵交相辉映, 绝对会让你有一种耳目一新的奇妙体验"
137,好友,M12****339,2014-10-21,"很精彩的杂技表演, 每个表演都让人鼓掌尖叫, 不过动物的表演相对来说太少了点, 很不错"
138,好友,新鑫123,2014-10-16,"拥有世界最大的森林实景式舞台布置, 新版舞台模式突破了传统舞台的极限, 表演也很精彩, 推荐一下"
139,好友,136****4230,2014-10-13,"新版舞台模式突破了传统舞台的极限, 与众多森林精灵交相辉映, 绝对会让你有一种耳目一新的奇妙体验"
140,好友,Doriangelhu,2014-08-08,"马戏表演太精彩了, 紧邻市区, 交通方便, 下班过去看完马戏还有时间去吃夜宵, 实在太棒了"
141,好友,i游走的虎,2014-07-03,"这么大的马戏演出场所实在是令人不可思议, 来自世界各地的表演者为观众奉献了一场无与伦比的精彩演出, 紧张, 刺激但绝对妙不可言, 难得的, 秀, 令人难忘"
142,好友,i游走的虎,2014-07-03,"这么大的马戏演出场所实在是令人不可思议, 来自世界各地的表演者为观众奉献了一场无与伦比的精彩演出, 紧张, 刺激但绝对妙不可言, 难得的, 秀, 令人难忘"
143,好友,i游走的虎,2014-07-03,"这么大的马戏演出场所实在是令人不可思议, 来自世界各地的表演者为观众奉献了一场无与伦比的精彩演出, 紧张, 刺激但绝对妙不可言, 难得的, 秀, 令人难忘"
144,好友,i游走的虎,2014-07-03,"这么大的马戏演出场所实在是令人不可思议, 来自世界各地的表演者为观众奉献了一场无与伦比的精彩演出, 紧张, 刺激但绝对妙不可言, 难得的, 秀, 令人难忘"
