,旅游者类型,昵称,时间,日期
97,独自旅游,南山无红豆,2015-08-08,"我和闺密就买了长隆欢乐世界的票, 上午蛮早就过去到机器那儿取票了, 第一个玩的就是大摆锤, 建议真的要做好心理准备, 我们前一天刚去了广州塔坐极速云霄, 然后以为坐这个应该能承受, 结果我感觉差点要哭出来, 而且我叫的口水飞自己一脸, 太刺激, 现在回想还是蛮不错的, 第二个值得体验的就是垂直过山车, 垂直过山车是十点半才开始, 当时我闺密在下面看都不敢上去, 光听声音就觉得特别刺激, 可是我还是把她拖上去了, 我想说的是这个真的值得一试, 在失重的时候憋住气会好很多, 除了掉下去的那儿, 其他我都有睁开眼睛看, 其实我就觉得那个垂直过了什么都不怕了, 当时哒哒哒上去的时候我真的特别紧张, 后来结束下来感觉人生都明亮了, 温馨, 里面吃的很贵, 我吃的一碗面, 大洋, 如果你想要带东西吃, 注意, 水果和包子是带不进去的, 包装好的面包倒是能带, 检查的人会说让你注意饮食卫生, 但是在没有坐那些刺激的项目之前哪有胃口吃东西好嘛, 我生怕自己会吐出来, 那样更难受, 里面关于水的项目有好几个的, 买的防水衣千万别那么快就扔掉, 还有里面买防水衣是, 大洋, 要是觉得贵, 是可以在门外买了再进去"
98,独自旅游,dreampeny,2014-05-22,"如果是情侣套餐或者是学生票, 在长隆玩是相当划算的, 不过不要遇到雨天, 下雨游乐设施就会关闭, 尤其是广州这种经常下雨的地方, 因此出行前要看好天气, 里面有分不同的主题, 可以选择自己喜欢的, 有儿童难度的, 也有极其惊险刺激的, 还有, 电影, 就算是人多, 由于有很多项目, 因此不用担心玩不到什么, 不过热门项目除外, 友情提示, 去游乐场最好不要带项链, 耳钉这些小又容易掉的小东西, 这些东西在玩的过程中要是掉了, 在一些速度极快的娱乐项目中容易伤到人, 像手表眼镜之类的, 在游戏开始前, 工作人员会有地方给予放置"
99,独自旅游,M22****983,2015-08-11,"食物藏好就行了, 饮料可带, 玩得超尽兴, 垂直过山车, 飞马过山车, 摩托过山车, 跳楼机, 十环过山车全部都玩过了哈哈, 真佩服自己当时的勇气和耐心, 排了很长的队都要玩, 不过一定要带多点食物去, 那里的东西真的很贵"
100,独自旅游,逃亡,2015-08-09,"很适合朋友一起去玩, 刚好那天去没下雨, 很高兴, 垂直过山车感觉太好了, 十环也不错"
101,独自旅游,日葵,2016-02-25,"很有特色的就是马戏了, 很适合一家人去游玩, 门票稍贵, 可提前到网上订购, 碰到节日也有很大的优惠, 如果有时间建议工作日去, 不用排很久的队, 建议地铁站下车走南门进, 地铁站外有小贩卖水衣, 千万不要买, 他们会骗你说里面的, 一套, 其实里面的十元一套质量比他们卖的好多了, 建议进门拿一张景区导览图, 看下各大节目的演绎时间, 里面有餐饮, 稍贵, 可以自己带好干粮和饮用水, 里面有直饮水, 可以带杯子去接水, 夏天去的话注意防晒了, 带好帽子或者遮阳伞, 防晒霜也必不可少, 如果是万圣节还有很多节目互动"
102,独自旅游,Carry,2015-07-26,"早上出发前就感觉要下雨到了之后雨慢慢下大, 因为是穷游所以在外面就买好了雨衣五块钱的那种就像是一次性垃圾袋很薄也可以在园里买那个十五就比较厚牢点从南门口进去直接就看到了垂直过山车本人建议先玩一些小型的然后在早上把过山车一次性全玩一遍因为到下午人会越来越多就要排好久的队了对了还有里面的表演很精彩尤其是惊天危机真人表演还有爆破漂移很帅"
103,独自旅游,M25****7692,2018-01-22,"很好玩, 刺激, 垂直过山车坐完觉的其他的都不是事情了"
104,独自旅游,逍遥游y,2015-08-31,"欢乐世界里面游乐设施挺多, 刚一去就看到了高, 米的垂直过山车, 隔得很远就能听到很恐怖的吼叫声, 硬是不敢上去, 摩托过山车倒是玩了一把, 大摆锤吓到心都飞出来, 星际决站可能是去晚了不让进去, 总体还不错, 各个项目的宣传视频都在放奔跑吧兄弟在这里录制的一期"
105,独自旅游,Vikey,2015-08-06,"适合大人玩的都很刺激, 但是就是太少了, 后边的朋友可以去外边买了雨衣再进来, 可以买多点水, 里边水还是比较贵的, 可以带泡面哦, 里边有热水的呢"
106,独自旅游,M12****149,2014-10-16,"里面游乐设施挺多的, 有小孩的, 大人的, 特别是那个垂直过山车看了挺恐怖的, 不敢去尝试, 不过其他的基本上都全坐了个遍, 挺刺激的"
107,独自旅游,_WB6****484,2018-03-20,"我玩过的最好玩的游乐场, 没有之一, 哈哈, 就算很多后开的游乐场感觉都比不上这个, 非周末飞寒暑假过去, 人少不排队, 玩的那叫一个飞起啊"
108,独自旅游,Iris__wong,2015-09-28,"我觉得长隆是一个很刺激的地方, 特别适合那些寻找刺激的人儿, 我和我的小闺蜜是一起坐城轨去广州南的, 接着转乘长隆专线车前往长隆, 很方便, 到了长隆, 我们的策略比较不一样, 就是从垂直过山车往前玩, 因为我们的目的主要是十环过山车, 所以垂直过山车就放弃了, 当我们玩到十环过山车那一, 的时候, 都快三四点了, 所以我们玩十环过山车根本不用排队, 还可以再玩几遍, 就是可惜不能带吃的进去, 里面的东西略贵啊"
109,独自旅游,浮年锦记,2016-12-28,"长隆欢乐世界基本上已经成为广州的一个娱乐名片了, 可以办市民卡, 这样会比较便宜, 垂直过山车是比较惊险的, 也是招牌特色项目, 需要排队比较久"
110,独自旅游,M17****301,2016-09-25,"刺激程度, 垂直过山车, 十环过山车, 摩托过山车, 型滑板, 超级大摆锤, 星际决战, 四维影院属于有多余时间可以体验下, 主要是, 效果有待升级, 分秒对决, 森林神庙个人感觉是浪费时间的节目除非是带小朋友看, 虽然前者演员挺辛苦, 这次是大早去, 时间充裕, 而且人不算多, 天气也好, 所有惊险项目都玩了至少一遍, 这才叫值回票价"
111,独自旅游,101066669183,2014-06-06,"比较普通, 人太多, 等候时间太长, 一般要, 小时"
112,独自旅游,M32****649,2017-11-19,"一开始就是冲着过山车去的, 不过当天摩托车过山车和火箭过山车都因为检测没玩到, 有点失望, 不过安全是很重要的, 可以理解, 我们是双十一买的门票, 还包含园内一餐, 很划算, 换票在门口就有机器可以换, 很方便, 但是玩激流勇进的时候, 工作人员说包包要放旁边, 不要背前面, 当我按照工作人员说的去做的时候, 当时穿着雨衣, 不是很方便, 我还没弄好他就直接把护栏一把拉下定住了, 我全程手都是不能动的, 除了这个之外, 其余的服务态度都很好, 气死我了, 当时就是忘记看他名字去投诉了"
113,独自旅游,M20****682,2017-09-08,"大人玩的是刺激, 一个上午就可以玩完了, 其他的都是小朋友都可以一起玩的项目, 总的来说还是可以的"
114,独自旅游,Wesleyww,2017-03-22,"长隆乐园挺大游玩项目多, 各种各样的娱乐设施很齐全"
115,独自旅游,_CFT01****2506124,2015-08-06,"欢乐世界还挺好玩吧, 不过最好别带小孩子去, 因为很多游乐设施是小孩子不能坐的, 里面的十环过上车和垂直过上车是最大的亮点, 最好早点进去, 进去就去十环过山车或者垂直过山车, 要不然等一会就会排队排很长, 里面的, 电影星际决战非常好看进去里面一定要去看这个, 吃饭的只能在里面吃乐, 有点贵, 但是他进门是有检查书包的, 没法带食品, 总体来说还是挺不错的"
116,独自旅游,ME_MORY,2015-04-16,"长隆欢乐世界号称, 以亲子为主的恒温开心宝贝乐园, 以大型游乐设备为主的尖叫地带, 一天玩下来, 果然是名不虚传, 长隆欢乐世界落坐在广州番禺迎宾路, 占地面积, 多亩, 游乐设施近, 项, 交通的话, 现在最方便的是地铁, 地铁三号线长隆站, 出口可到达长隆旅游旅游度假区, 我们就是坐地铁前往的, 如果是自驾的话, 一般是经过华南快线, 迎宾路, 长隆, 门票是一票通玩的, 不需要单独收费, 除园内餐饮, 租赁, 商场购物需另外付费, 游乐设施开放情况会根据当天的天气情况而定, 一般下小雨是不受影响的, 如大雨, 雷暴雨等恶劣天气园区有可能会暂停部分户外大型游乐项目, 等天气好转, 经过安全检测后, 游乐设施会陆续恢复开放, 具体以园区当天现场公告的为准, 我们去的那天下着阴阴的小雨, 时下时停, 并没有影响游玩, 票的话可以在门口购买, 也可以在网站上订购"
117,独自旅游,LAUALLEN,2015-04-09,"长隆欢乐世界, 比深圳欢乐谷好玩太多了, 超级多过山车绝对是喜欢刺激的年轻人最爱了, 一定不要错过"
118,独自旅游,cd****ei,2015-02-22,"总体来说长隆欢乐世界的游乐项目还是蛮多的, 游乐设施也比较先进, 米以下的小朋友有专门的小型游乐项目, 特别要说的是基本所有排队的地方都是室内的, 上午排队的人不多, 基本上一刻钟的样子都可以轮到, 如果喜欢玩这些项目的同学可以早点入园, 下午人开始多起来, 排队会久一点, 除了游乐项目, 园中还有固定的表演和花车巡演, 有很多外国的团体在园内表演, 基本上花一天时间所有项目都可以玩到"
119,独自旅游,JimmyLuMR,2015-01-29,"全园最刺激的非, 垂直过山车, 莫属, 来长隆一定要玩, 不过第一次坐的朋友们在冲下第一个垂直坡时可能有一点恐怖, 我第一次坐完下来后有点惊魂未定, 此外还有, 超级大摆锤, 摩托过山车, 型滑板, 也挺不错的"
120,独自旅游,137****7291,2014-06-05,"垂直过山车果然名不虚传, 很过瘾很好玩, 特别是在最高处时, 从上往下看风景很美, 但是建议不要选择黄金周去, 不然的话排队的时间比玩的时间还要长"
121,独自旅游,_cft01****3223531,2014-04-14,"去的是欢乐世界, 那时去的时候, 是六月, 夏天很热, 很热, 很热, 人也很多, 基本排队要排蛮久, 但绝对是难忘的游乐园经历, 一开始, 我们很白痴, 一进入乐园就往离我们近的游乐设施排队, 所以, 很苦逼的是, 还没熟悉乐园的环境, 我们就玩了, 垂直, 度降落, 大摆锤, 这个是我觉得最恐怖的, 心有余悸, 所以, 接下去都不敢玩了, 建议, 胆小者如我们, 请从温和设施的开始, 后来看了表演, 魔术, 电影, 玩了碰碰车, 都很温和噢, 很开心啦, 虽然很累, 排队很久, 但像长隆欢乐世界这种集欢乐与刺激激与一身的地方, 任谁都会找到快乐的吧, 大胆去玩吧"
122,独自旅游,行走的饭米粒,2019-01-02,"已经去过长隆所有的景区了, 相比而言, 最喜欢的还是长隆欢乐世界, 这里特别适合年轻人和小朋友, 各种机动游戏, 都很刺激, 最刺激的就是垂直过山车, 大摆锤和, 型滑板了, 虽然很吓人, 但是玩过一次, 还想再玩一次, 如果赶上假期去, 人多就要排很长时间的队了, 但是, 这个价钱很值"
123,独自旅游,蘇SO要去看世界,2017-01-09,"除了人多, 真的是不想这点的, 哈哈哈, 我去必玩十环, 垂直和大摆锤, 还有, 型也不错"
124,独自旅游,玄小草,2016-12-30,"国内的游乐场的话, 最喜欢的就是广州长隆欢乐世界, 比欢乐谷什么的有意思多了, 只是门票越来越贵, 记得第一次去的时候买的情侣套票只要, 现在都要翻倍了吧"
125,独自旅游,E45****517,2016-10-26,"超级完美, 精彩绝仑, 美仑美焕, 异彩纷呈, 激情四射"
126,独自旅游,M39****997,2016-06-16,"很好玩很好玩很好玩, 個人覺得划算, 兩百多的門票玩的非常開心, 大人小孩在裏面都能吧, 玩得非常開心, 那幾個過山車非常適合愛刺激的人玩, 也有悠閒的, 裏面吃的不算很貴, 味道可以, 很值得去"
127,独自旅游,180****7500,2016-02-24,"好像是, 年去的, 五一去, 学生票, 块, 从, 点开园到闭园, 点吧, 排了一整天队, 玩了大概, 个排名前, 的刺激项目, 工作人员的态度超级好"
128,独自旅游,M15****964,2016-01-06,"我挺喜欢这的过山车的, 而且还有动物园, 挺不错的"
129,独自旅游,爱玩爱生活,2015-10-12,"比深圳的欢乐谷还要好玩, 可以玩的项目很多, 大型刺激好玩的项目总是有很多人排队的, 要排上一会才要以到自己, 不过总是很值得的, 太好玩了, 十环, 型滑板垂直大摆锤真的是太过瘾了, 心脏不好的可不要去玩哦, 里面也有很多试合小朋友玩的, 要在里面玩上一天, 才能把全部的玩完, 因为门票很贵, 要全部玩完才觉得不浪费钱"
130,独自旅游,M25****003,2015-09-28,"挺好玩的, 很刺激, 风景还好, 总体不错就是消费高"
131,独自旅游,210****605,2015-09-23,"不建议周末去, 人很多, 每个项目都要排一个小时的队, 一天下来就玩了几个, 不值, 如果平时去还是不错的"
132,独自旅游,m15****147,2015-09-18,"位于广州番禺区迎宾路, 是一座大型的游乐园, 园中很多游乐设施都是很值得一玩的, 诸如十环过山车, 摩托过山车, 型摩天滑板等"
133,独自旅游,_CFT01****2829764,2015-09-13,设施很好很刺激里面东西太贵玩水上设施得套所料带要不雨衣护不住脚
134,独自旅游,_CFT01****3652446,2015-08-27,"不爽的部分就是排队排队, 项目很不错, 十环过山车, 滑板很嗨很刺激, 遗憾没玩垂直过山车, 有一些项目没时间玩, 好遗憾, 下次一定选择人少出行, 里面风景不错, 配的上"
135,独自旅游,M23****916,2015-08-26,"游乐设施挺全的, 周末人有点多, 玩大摆锤排队一个小时, 总体来说还不错, 挺好玩的"
136,独自旅游,Y托马斯,2015-08-26,"不错, 很愉的一次旅行, 娱乐的东西有很多, 很值得"
137,独自旅游,M10****336,2015-08-26,"不错, 就是暑假人多, 有的项目要排队一个小时左右, 下次还回去"
138,独自旅游,M10****831,2015-08-24,"还不错, 玩的很爽很开心暑假的时候排队也没有很久最久的就是, 型滑板"
139,独自旅游,xuchengjie0709,2015-08-23,"周五去的, 上午人不多, 把过山车什么都玩了一遍, 下午人比较多, 总体很刺激"
140,独自旅游,ZYL_mmc,2015-08-21,"长隆设施还是很不错的, 毕竟是大型的游乐场, 可是我真的很讨厌不准带食物进场的规定, 稍带一些夜市没问题的, 一个面包都不准带我也是醉了, 其他的时间我不知道, 反正我们去的那次就没带进去, 希望还是改进下吧"
141,独自旅游,M11****590,2015-08-20,"机动游戏很刺激, 但非常多人排队, 每队起码半小时, 而且去时正好暴雨, 很多项目暂停一段时间, 再开时更多人, 一天下来, 只玩了, 个项目"
142,独自旅游,M22****282,2015-08-19,"玩疯了, 刺激, 又好玩, 长隆马戏团十环过山车, 垂直过山车, 水上乐园, 大摆锤, 街舞表演"
143,商务,流水莫无情,2015-07-31,"很不错, 挺好玩的, 就是那个最高的过山车不敢去做而已"
144,商务,_WeCh****16615,2015-07-12,最喜欢这个里面的过山车了很刺激的感觉哈
145,商务,acay,2014-07-27,"里面的游乐设施比较齐全, 有摩托过山车等刺激的机动游戏, 面积也挺大的, 就是买水和吃的比较贵, 比外面贵, 建议要游玩一天的朋友最好自备多点食物和水再去, 不然你在里面买一瓶水的钱在超市可以买一堆零食了"
146,商务,e36****96,2014-05-09,"不错, 朋友很满意, 下回再去看一看, 不过就是门票不便宜"
147,好友,新鑫123,2014-10-16,"印象最深刻的是哈比儿童王国都是些适合孩子的游艺设备, 带孩子来玩的一般以这个区域为主, 孩子玩的很开心"
148,好友,上海音然,2014-10-23,"可能衣服和鞋子可能会湿掉, 里面有急流勇进, 碰碰船, 海盗漂流等, 哈比儿童王国都是些适合孩子的游艺设备, 带孩子来玩的一般以这个区域为主"
149,好友,z47946991,2015-08-08,"游乐项目很多有适合年轻人玩的刺激项目如过山车, 大摇摆等, 也有适合小孩子的儿童乐园式的项目, 还有表演看, 值那个价"
150,好友,M17****980,2015-07-14,"很好玩, 好多过山车, 坐完下来没别的感觉, 只是笑啊, 终于回到地面上了, 哈哈, 欢乐世界不让带吃的东西进去, 要寄存在外面"
151,好友,空空空,2015-03-21,"分为长隆欢乐世界, 大马戏, 水上乐园, 动物园, 建议网上团购买票, 相对更实惠, 如果爱玩, 去欢乐世界和水上乐园非常不错, 建设调戏在周一到周五去, 人相对少, 最好是下下雨天去人更好, 很好的激动游戏"
152,好友,幸福的猪88,2015-01-01,"长隆欢乐世界进去之后有点后悔了, 那几个亚洲之最太给力了, 什么十环过山车, 九十度垂直过山车啊真心恐怖, 看着那设施的架势就不敢靠近了, 唉, 也许是老了, 玩不起了, 敢于挑战和寻求刺激的建议来试一试, 效果绝对不错, 非常建议去看的是国际顶尖特技剧场, 犹如好莱坞大片式的实景特技表演, 大火, 爆炸, 枪战, 赛车样样都精彩"
153,好友,游游女神,2014-11-22,"万圣节期间, 周末, 高峰时期去的结果是玩个项目最长等了, 小时, 从, 进场到, 离开, 个项目, 其中, 个是走马观花的鬼屋, 玩坐船从上坡冲下来的那个项目一定要用长隆里面卖的雨衣, 块钱一件, 别被一出门口那堆小贩骗了, 块的劣质雨衣穿上去就破, 玩完变成落汤鸡, 另外长隆没有设置吹风机供落汤鸡们吹干"
154,好友,e06****55,2014-11-22,"垂直过山车非常刺激, 型滑板也很爽, 园区顶尖设施很多, 比欢乐谷爽, 在里面玩了一整天基本玩遍了, 但要早点去, 早上人很少不用排队"
155,好友,_CFT01****6632513,2014-11-08,"地方真的好大, 不过门票对我而言有点小贵, 但是都可以玩"
156,好友,爱上717,2014-11-08,"去长隆欢乐世界最好呼朋唤友, 因为那里需要尖叫, 需要气氛, 约上几个好友去, 大家都会很开心"
157,好友,M12****339,2014-10-21,"过山车俯冲下来, 感觉心脏都要蹦出来了, 但那瞬间的眩晕让你忍不住大叫啊, 真刺激"
158,好友,136****4230,2014-10-13,"哈比儿童王国都是些适合孩子的游艺设备, 带孩子来玩的一般以这个区域为主, 小孩子玩的很开心, 推荐一下"
159,好友,M12****513,2014-10-11,"我用手机想进入网站订票, 怎么都找不购票点"
160,好友,i游走的虎,2014-07-03,"恰逢暑假, 所以这里游人如织, 很多小朋友在家长的陪同下来此嬉水, 由于人多, 所以每个游乐项目几乎都要花很长时间排队, 不过小朋友都玩的很开心, 看着那一张张天真的笑脸, 真的很开心"
161,好友,ytzwei,2014-06-05,"景点还不错, 可以玩上一整天, 就是门票有点小贵"
162,好友,M12****339,2014-10-21,"过山车俯冲下来, 感觉心脏都要蹦出来了, 但那瞬间的眩晕让你忍不住大叫啊, 真刺激"
163,好友,136****4230,2014-10-13,"哈比儿童王国都是些适合孩子的游艺设备, 带孩子来玩的一般以这个区域为主, 小孩子玩的很开心, 推荐一下"
164,好友,M12****513,2014-10-11,"我用手机想进入网站订票, 怎么都找不购票点"
165,好友,i游走的虎,2014-07-03,"恰逢暑假, 所以这里游人如织, 很多小朋友在家长的陪同下来此嬉水, 由于人多, 所以每个游乐项目几乎都要花很长时间排队, 不过小朋友都玩的很开心, 看着那一张张天真的笑脸, 真的很开心"
166,好友,ytzwei,2014-06-05,"景点还不错, 可以玩上一整天, 就是门票有点小贵"
167,好友,M12****339,2014-10-21,"过山车俯冲下来, 感觉心脏都要蹦出来了, 但那瞬间的眩晕让你忍不住大叫啊, 真刺激"
168,好友,136****4230,2014-10-13,"哈比儿童王国都是些适合孩子的游艺设备, 带孩子来玩的一般以这个区域为主, 小孩子玩的很开心, 推荐一下"
169,好友,M12****513,2014-10-11,"我用手机想进入网站订票, 怎么都找不购票点"
170,好友,i游走的虎,2014-07-03,"恰逢暑假, 所以这里游人如织, 很多小朋友在家长的陪同下来此嬉水, 由于人多, 所以每个游乐项目几乎都要花很长时间排队, 不过小朋友都玩的很开心, 看着那一张张天真的笑脸, 真的很开心"
171,好友,ytzwei,2014-06-05,"景点还不错, 可以玩上一整天, 就是门票有点小贵"
172,好友,M12****339,2014-10-21,"过山车俯冲下来, 感觉心脏都要蹦出来了, 但那瞬间的眩晕让你忍不住大叫啊, 真刺激"
173,好友,136****4230,2014-10-13,"哈比儿童王国都是些适合孩子的游艺设备, 带孩子来玩的一般以这个区域为主, 小孩子玩的很开心, 推荐一下"
174,好友,M12****513,2014-10-11,"我用手机想进入网站订票, 怎么都找不购票点"
175,好友,i游走的虎,2014-07-03,"恰逢暑假, 所以这里游人如织, 很多小朋友在家长的陪同下来此嬉水, 由于人多, 所以每个游乐项目几乎都要花很长时间排队, 不过小朋友都玩的很开心, 看着那一张张天真的笑脸, 真的很开心"
176,好友,ytzwei,2014-06-05,"景点还不错, 可以玩上一整天, 就是门票有点小贵"
