,旅游者类型,昵称,时间,日期
102,独自旅游,童找找,2015-04-16,"很好玩, 虽然下雨, 但是是恒温的, 不冷哦, 大喇叭一定要玩, 超级刺激的, 因为住长隆酒店, 有专用通道, 很方便"
103,独自旅游,Lee2014,2015-09-07,"和朋友的两人游, 出游时天气阴天不会太晒, 刚刚好, 水上项目也多, 玩得很开心, 唯一郁闷的就是太多人, 要排好久队啊"
104,独自旅游,_CFT01****2265341,2015-08-30,"首先要说真的很好玩, 我们住的长隆酒店, 玩儿的是夜场, 五点就可以进园, 有, 通道, 几分钟就到门口了, 里面有很多刺激的, 也有很多小娃娃们玩儿的, 总之很不错, 水也很干净, 好评"
105,独自旅游,游游MVP,2014-12-07,"水上乐园, 孩子的天堂, 一下水, 就不肯起来, 太阳再晒也不怕, 虽然小朋友不能去大项目, 但都有迷你版哦, 也很过稳呢, 很多项目还是会排队, 但很值得, 气氛超好"
106,独自旅游,amy旅者在路上,2015-06-04,"这个水上乐园有许多的体验游玩方式, 而且还有水上精彩演艺, 可乘坐, 路, 番, 路, 番, 路等公交车到地铁汉溪长隆站下车乘坐免费穿梭巴抵达公园"
107,独自旅游,cd****ei,2014-11-06,"长隆的水上乐园一定要强烈推荐, 所有的项目设施都很好玩, 最刺激的是垂直极限, 急驰竞赛, 超级大喇叭都很刺激呀, 基本水上乐园实行一票制, 门票含园内的所有水上游乐项目及娱乐表演, 但乐园的餐饮, 购物, 储, 物柜或部分投币设施需另付费"
108,独自旅游,_WeCh****164652,2017-08-01,"蛮好的一次旅游, 实力推荐大喇叭和火山谷"
109,独自旅游,234****044,2015-11-07,"项目类型很全, 气氛很好, 环境保养的很不错, 建筑很有特点"
110,独自旅游,L秀Z,2015-08-09,"月份去的, 那天气温, 度, 从云南去还真有点不习惯, 还好都是玩水, 个人玩得很嗨, 就是下午才去都还没玩几项就晚了, 建议泳装什么的都从外面带去, 里面很贵, 吃的很贵"
111,独自旅游,Lion的小尾巴,2015-05-29,"夏天玩水得好去处, 就是要特别注意防晒, 每个项目都还蛮刺激的, 泡温泉和按摩都不错"
112,独自旅游,gosunny,2014-04-28,"好玩, 我们是一个旅游团来的, 那时候是夏天, 所以特别多人, 很多的设施排长队, 最长的要等一个多小时, 里面吃的东西有点贵, 又不能带食物进去, 在里面租浮圈要钱, 有分双人四人的, 保管箱也要收费, 在景区外面也可以寄存东西, 免费"
113,独自旅游,清清水一,2015-07-07,"很想再去, 垂直过山车真的吓死人的节奏, 当时不是旺季去的, 淡季, 很多广州那边的厂, 员工福利是这里旅游好像, 好多, 但是, 工人阿姨多么, 所以玩大项目也没怎么排队, 当然, 水世界更加好玩一点, 就是会晒伤"
114,独自旅游,M20****450,2015-06-23,"这个还是不错的, 主要是美女多, 我女友就是在这里找到的"
115,独自旅游,lcwaihqq,2015-06-17,"项目都玩了, 很好玩, 服务还算可以吧, 就是觉得为什么洗浴间不配沐浴露洗头水呢, 另外刚好电视台在录节目, 还有长隆自己的节目, 总体觉得还可以"
116,独自旅游,诗茵,2014-06-11,"天氣陰陰的, 人又不多, 玩遊戲也就排十幾分鐘就到了, 建議不要節假日去, 肯定很多人的"
117,独自旅游,M31****832,2016-07-30,"景点不属于自然, 感观一般般啦, 游泳, 看了妖人跳舞, 马戏"
118,独自旅游,hansuyan,2016-06-24,"我是比较怕那些机动游戏的人, 太刺激受不了, 但是长隆水上乐园可以接受, 刚好, 月份还挺热, 水上乐园好清凉, 大喇叭挺不错的, 还有几个垂直项目非常刺激, 我只能看着我朋友玩了, 里面的游戏品种好多, 特别好玩, 朋友出游, 情侣出游的首选"
119,独自旅游,288****175,2016-04-29,"长隆水上乐园是我玩过最大最好玩的水上游戏, 是全亚洲最大, 世界上水上游乐设备最多最先进的水上乐园, 长隆水上乐园绝对是我所知道的世界上为数不多的最好玩的水上乐园之一, 在中国应该是最大最好玩的水上乐园了"
120,独自旅游,M35****968,2016-04-04,"在网上订景区门票从来没有遇到过这么差的网站, 有些事情只有体会了才知道携程到底有多么烂"
121,独自旅游,和烟柳,2015-10-05,"因为爸爸去哪儿, 所以和朋友过去的, 游玩项目还是很多的, 人也多很热闹, 赶上节假日, 排队也是很久的, 设施大小朋友过去吧"
122,独自旅游,亲爱的,2015-10-04,"很好玩, 就是面贵了点, 还有爬楼梯太累了, 玩得太激动了"
123,独自旅游,Ochive,2015-09-30,"绝对值得一玩, 但一定要自备拖鞋, 里面的非常贵"
124,独自旅游,嘉如,2015-09-18,"广东省短途出行最佳选择地, 垂直过山车必须要坐一回, 里面的机动游戏项目都务必要挑战自己小心脏一番, 还有精彩的节目表演, 里面坏境优美, 五颗星"
125,独自旅游,维尼KV,2015-08-27,"想着日场人多, 太阳晒就选了夜场的, 但是人还是很多, 很多项目都要排队, 但是还是玩的很开心, 三四个朋友一起去玩比较有趣"
126,独自旅游,138****8531,2015-08-27,"对于我这种追求刺激的人来说欠了那么一点点火候, 但是我朋友已经有很多项目不敢玩了, 玩了一天下来很尽兴, 非常适合消暑, 最好选人少的时候, 要不那些项目要排很久队"
127,独自旅游,灬唯丶爱灬,2015-08-25,"很赞很喜欢, 里面的设施也好多, 好好玩, 就是人太多勒"
128,独自旅游,迎风飞舞,2015-08-24,"去水上乐园一定要自带一个防水手机套, 这样才能拍照, 里面的东西买得太贵啦, 我们在餐厅点了两份饭, 一个, 元, 一个, 元, 大部分游乐项目都要排队, 排半个小时, 玩一两分钟就结束"
129,独自旅游,想    起,2015-08-24,"很不错的一个景点, 希望下次还能去到哪里"
130,独自旅游,琪宇,2015-08-23,"长隆水上乐园比欢乐世界更好玩, 这次是和几个朋友一起去玩的, 很不错, 玩的很开心, 下次还要继续"
131,独自旅游,M17****817,2015-08-17,"项目太刺激了, 大人小孩都可以玩, 不错哦, 以后有机会还是可以在去"
132,独自旅游,135****8155,2015-08-17,"刺激项目很多, 适合一家大小跟年轻人玩, 是一个身心放松的好地方"
133,独自旅游,M14****115,2015-08-14,"如果要玩一定要玩一整天, 因为晚上的表演很精彩"
134,独自旅游,原地踏步,2015-08-12,"长隆水上乐园是个好玩的去处, 蛮刺激的, 要啥有啥, 适合一家人去游玩"
135,独自旅游,精精小跑,2015-08-10,"价格合理, 只要有体力, 可以从开门玩到关门为止, 而且两个项目可以分成两天慢慢玩"
136,独自旅游,阿静,2015-08-08,"长隆水上乐园漂亮, 好玩, 招牌大喇叭很刺激"
137,独自旅游,M19****929,2015-08-08,"非常好, 很给力下次带朋友一块去玩它十次, 次"
138,独自旅游,286****850,2015-08-08,"项目挺多, 有些还是比较好玩的, 但是里面的配套设施很不齐全, 连毛巾, 吹风机, 这些必需品都没有, 让人很不方便, 入口旁边的这几个项目是最好玩的"
139,独自旅游,Kabinryou,2015-08-04,"不错啦, 很好玩, 挺喜欢滴, 玩的好开心, 不过就是晒黑了, 呜呜"
140,独自旅游,米米麽,2015-08-04,玩了一整天看了大家发的评论准备好了去的每个项目都等挺久的但是特别刺激饭很贵水可以自己带
141,独自旅游,M12****768,2015-08-03,"感觉蛮好玩的, 项目玩的很爽, 就是人有点多, 排队要点时间, 建议不要双休日去"
142,独自旅游,rouwan,2015-08-01,"性价比不是很高, 但是玩的还是挺开心的玩水"
143,独自旅游,即安,2015-08-01,"平常, 元的门票, 暑假, 无语"
144,独自旅游,说走就走,2015-07-26,被坑了美团需要提前预约没办法只能临时买票不过跟妹妹她们一起挺好玩的可惜妈妈很多都玩不了每年夏天都会玩很多次啊
145,商务,_WeCh****16615,2015-07-12,"水上乐园是孩子的最爱的了, 玩的开心极了"
146,商务,_wb1****082,2015-07-11,"带着孩子来这里戏水, 游玩很不错的, 欢乐的海洋"
147,商务,acay,2014-07-27,"长隆水上乐园之旅, 好累好开心, 最怕最紧张的不是超级大喇叭, 不是巨浪, 而是滑梯, 落地那一刻明明是平面, 却感觉似自由落体垂直向下, 停了也没知觉, 然后被扶起, 全身都软"
148,好友,空空空,2015-03-21,"长隆水上乐园作为全国著名, 世界闻名的大型水上乐园, 作为目前世界上至大, 至先进, 水上游乐项目至多的大型水上乐园, 长隆水上乐园几乎所有的设备均由国外原装进口, 且有众多荣获国际大奖的顶尖项目, 很刺激, 值得去玩"
149,好友,M24****708,2015-09-18,"人多点好玩点, 项目还可以吧, 一个人稍显无聊, 水都不是很深"
150,好友,153****3133,2015-04-18,"现在已经开业了不过人不多, 再过段时间再去肯定好玩"
151,好友,Andy,2015-03-29,"水上乐园确实不错, 节目多, 水源干净, 小盆友玩的很嗨"
152,好友,游游女神,2014-11-22,"好多项目, 最喜欢大喇叭, 不玩机动游戏喜欢水的朋友推荐来, 不过最好避开周末和暑假, 要不要排好就才能玩一个项目, 还有注防晒, 第一次去就晒伤了"
153,好友,爱上717,2014-11-08,"储值腕带的充值无需押金, 金额从, 元至, 元不等, 余额可全退, 在储值柜台办理即可, 景区内不提供冲凉时的洗涤用品及毛巾, 须自备"
154,好友,上海音然,2014-10-23,"长隆水上乐园实在非常有名, 所以如果遇见周末, 甚至可能遇见没有储物柜的情况, 所以如果出行, 随身东西不要带多"
155,好友,新鑫123,2014-10-16,"如果出行, 随身东西不要带多, 园区内提供, 电子钱包, 储值腕带消费服务, 非常方便, 腕带是防水的, 可以充值, 设置密码消费, 感觉很高大上的样子"
156,好友,136****4230,2014-10-13,"景观以亚热带的植物和花卉为主, 形成一个自然且放松的环境, 它是国内非常出名的水上乐园, 夏日的最佳选择, 推荐一下"
157,好友,135****5813,2014-07-09,"游园里设施不错, 比北京欢乐谷更刺激, 经常探险的, 办个年卡更加实惠, 玩得正高潮时来了场大风雨降温"
158,好友,i游走的虎,2014-07-03,"一个很大的亲水乐园, 正值暑假期间, 所以很多小朋友来此嬉水, 各种刺激的水上项目让小朋友们兴奋无比"
159,好友,i游走的虎,2014-07-03,"一个很大的亲水乐园, 正值暑假期间, 所以很多小朋友来此嬉水, 各种刺激的水上项目让小朋友们兴奋无比"
160,好友,i游走的虎,2014-07-03,"一个很大的亲水乐园, 正值暑假期间, 所以很多小朋友来此嬉水, 各种刺激的水上项目让小朋友们兴奋无比"
161,好友,i游走的虎,2014-07-03,"一个很大的亲水乐园, 正值暑假期间, 所以很多小朋友来此嬉水, 各种刺激的水上项目让小朋友们兴奋无比"
