,昵称,时间,评论
158,_WeCh****411653,2018/8/17,"携程售后真的差劲, 反馈问题一拖再拖, 咨询东西约订的时间不会有人主动联系我们, 只有我们主动联系才有回复, 然后就踢皮球给其他人, 一件事情拖了两天还没有解决, 第三天有一个售后给我电话, 语气差的不行, 真的搞不明白这么大的平台, 为什么养这么多的闲人, 差评, 差评, 差评"
159,M25****5279,2018/7/21,"人多的玩不了, 过山车到时不错"
160,_CFT0****4505,2018/12/26,"不好玩, 不好玩诺咨询君莫笑我下午提醒我"
161,M22****2053,2017/7/30,"只能说游乐设施还过得去, 但是服务人员态度是真的差, 态度恶劣, 特别是那个垂直过山车的服务人员, 交个东西慢了点就开始吼, 不只我一个, 前面的好多游客都被吼了, 来这玩是来开心的, 不是来受气的, 真的不想去第二次了"
162,320****443,2019/3/7,不好玩
163,320****443,2019/3/7,不好玩
164,Contenu,2018/9/6,"一颗星给海盗漂流和急流勇进这两个项目, 没有储物柜, 且买了雨衣这套质量极差, 想直接脱鞋完, 鞋子没有地方放, 想放在岸边平台工作人员也不让, 导致玩完海盗漂流鞋子已经进水, 激流涌进直接不想玩, 穿着湿的鞋子非常影响游玩的心情, 希望园方能改进设置储物柜方便游客游玩"
165,JessieSuen,2018/10/27,"人多到走都要慢慢走, 干什么都要排队, 动辄一个小时以上, 啥都没玩到, 就不能限制下人流吗, 跟以前没得比"
166,阿尔比陈棱,2018/6/26,"里面物价贵, 东西旧, 而且你想找个好玩的那要走很多地方, 大多数都是吃的东西, 而且特别贵"
167,M29****8786,2018/11/27,"非常不好, 我去的时候人特别多, 好像是学校带学生去玩, 随便想玩个什么都要等很久, 很没意思的一次游玩, 很累"
168,bb猪猪爱11,2019/2/15,"买了两套情侣票, 本来是先打, 了两个女可不可以用情侣票, 问了知道可以用, 才买, 到了现场别人规定要一男一女, 真的很"
169,M36****210,2018/2/27,"那天星期六, 人出行两个小孩一个六岁身高, 米, 一个, 岁身高, 米, 到售票处买票, 问现场工作人员小孩子要不要买票, 工作人员回答, 米以上要买, 就买了四张成人票一张儿童票, 去检票口检票, 检票员说儿童, 米以上就要买票, 还要买一张儿童票, 把老子气得想打人, 好我不玩了, 退票吧, 对不起不能退票, 我们这就是这么规定的不能退票的, 未完待续"
170,185****2602,2018/11/2,"取票地方不设在入口的设那么远, 而且看了短信才知道取票要七点前, 下着雨跑来跑去最后没取到票, 很差的一次体验"
171,稚子幼果,2018/6/14,"我买错票了, 补票多花了八十, 我买的时候没有提示"
172,_WeCh****68462,2018/8/22,"进门太麻烦了, 要取票, 安检还是手动的"
173,M27****1302,2018/8/14,"网上订票让我一个小时才拿到票, 取码号显示不全, 打了携程, 次电话, 次打不通"
174,卡纳尔诸葛亮,2018/10/17,"脏乱差, 还好意思和迪斯尼比, 于是预期太高, 非常失望"
175,M28****4260,2018/10/21,"每个项目都, 小时以上, 然后还很敷衍"
176,_WeCh****28869,2018/10/13,"取票超多人, 快窒息了, 排了, 小时都拿不到票, 直接去买全价的"
177,M26****4808,2018/10/1,"印象超级超级超级差, 第一次出来玩这么恼火, 不会再来玩, 没来玩过的建议大家不要来玩, 千万别来, 否则绝对会后悔"
178,118****777,2019/5/4,"五一票价水涨船高, 消费物价也高, 平时便利店售价, 元瓶的水, 在游乐场卖到了, 元, 核准了吗, 其次十岁内的游乐设施也太少"
179,lauren123456,2017/12/9,"情侣票歧视吗, 男男女女怎么了, 闺蜜不能去, 弄个好基友票不行吗"
180,阿尔比陈棱,2018/6/26,"比较适合儿童玩的, 很多东西都是一分钟一次, 消费也高, 一瓶水, 元, 一个快餐"
181,卡纳尔诸葛亮,2018/10/17,"遍地的垃圾和随处可见的插队现象, 让整体体验很差"
182,M10****194,2017/6/30,"这个地方太刺激, 贬义, 了, 小朋友还是别去了吧, 成年人快都被吓尿了, 眩晕的一天, 希望大家对自己好一点, 太可怕了, 在上面脏话骂了一年的量"
183,_WeCh****405454,2018/10/27,"差评, 时间过了不能退票, 不要去"
184,WeiHaoXian,2018/1/9,"东西好玩但是吃的真的可怕好吗, 买了个汉堡, 一股洗洁精味, 肚子一直不舒服, 现在在医院洗胃了"
185,半路旅行家,2017/8/13,"寄存行李处太差了, 箱式要跟背包分开寄存, 太不贴心了, 而且所食物不能带, 连小孩的食物也不行, 真霸王条款"
186,M50****921,2018/11/30,"人山人海, 根本什么也玩不到, 好生气"
187,M29****4219,2018/10/13,"人太多了, 艹, 等了几个小时, 感觉不值"
188,M27****9224,2018/11/2,"不能退票, 强制性消费, 严重差评"
189,136****7710,2018/11/1,"来不及换票, 没用过, 没注明换票地点"
190,M28****2338,2018/9/26,"差评差评差评, 体验很差, 不会再用携程网了"
191,_WeCh****16759,2018/3/12,"辣鸡的要死, 有个毛线玩"
192,阿尔特伦张良,2018/11/16,"不好玩, 东西贵的要死, 没啥好的"
193,M33****321,2018/10/29,"差差差, 比其他购票贵出几十块"
194,M26****2063,2018/8/29,"携程这个垃圾平台, 再也不用了"
195,_M13****9561,2018/1/26,"游客设施比起欢乐谷和国内其它景点差太远, 没有多少项目可以游玩, 价格还高, 关键没有储物柜, 连地上都不允许你放, 服务人员态度恶劣"
196,_CFT01****5193426,2017/7/16,"月, 号买了, 张票, 都是过了几分钟就预定成功了, 月, 号因为突然朋友要一起, 在, 点钟下单了, 张成人票, 然后和朋友, 点在长隆门口一边排队一边取电子票, 然后差不多到检票口发现朋友的票还在确定中, 浪费时间还丢人, 然后找客服, 客服说还要半个小时给答复, 买张票要半个小时, 大热天的让我们在广州这天气干晒着等, 然后我让客服退票, 我自己买, 客服又说退不了, 必须等, 然后几个人傻不拉几的在门口晒了足足半个小时的大太阳, 然后给个电话说买不了, 电脑问题, 玩人, 需要半个小时告诉我买不了, 前面干嘛去了, 电脑不行还要我找你们才能发现, 客服一直推脱, 敷衍了事, 最后自己检票口买票进去, 最搞笑的是中午, 点然后携程告诉我出票了, 我要这张票干嘛, 心情全被毁了"
197,M45****834,2018/4/18,"娱乐项目很少, 节假日人太多, 玩一个项目排队二个多小时"
198,破裂晨光,2017/11/6,"园内到处是各种卖东西的小铺子, 垃圾食品居多, 又贵又难吃, 所有的食物在入园时都专门设人翻找, 真心不开心, 不管带没带吃的, 你的包都要被翻一个遍"
199,_CFT01****5193426,2017/7/16,"月, 号买了, 张票, 都是过了几分钟就预定成功了, 月, 号因为突然朋友要一起, 在, 点钟下单了, 张成人票, 也没有怎么注意, 然后和朋友, 点在长隆门口一边排队一边取电子票, 然后差不多到检票口发现朋友的票还在确定中, 浪费时间还丢人, 然后找客服, 客服说还要半个小时给答复, 买张票要半个小时, 大热天的让我们在广州这天气干晒着等, 然后我让客服退票, 我自己买, 客服又说退不了, 必须等, 然后几个人傻不拉几的在门口晒了足足半个小时的大太阳, 最后给个电话说买不了, 电脑问题, 玩人, 需要半个小时告诉我买不了, 前面干嘛去了, 电脑不行还要我找你们才能发现, 客服一直推脱, 敷衍了事, 最后自己检票口买票进去, 最搞笑的是中午, 点然后携程告诉我出票了, 我要这张票干嘛, 个人买, 张票玩, 心情全被毁了"
200,631****809,2019/10/19,"万圣节夜场, 感受, 长隆高管要是在场都, 想揍他, 就知道, 赚钱, 狂, 放票, 一个鬼屋排一个多小时"
201,110****731,2018/4/7,"人很多, 总共才玩了, 个项目, 不让带吃的进去, 几年价格翻倍, 再见"
202,HelloABCD,2017/12/2,"人太多了, 而且排队排很久, 热也很晒, 休息地方不够"
203,享尽人生,2017/10/14,"愉快你妹啊, 四个小时才玩到一个游戏, 为了搞活动不控制票数和人流, 以后都不来了, 坑鬼啊"
204,M26****0029,2018/4/24,"超级差评, 重复购票不能退票, 坑人"
205,M34****328,2017/5/14,"唉, 坑人啊, 基本都是排队, 里面的消费比门票还贵, 一碗面六七十, 去了一次就不想去了"
206,320****119,2017/5/30,"买错票了, 吐槽一下携程, 买完, 分钟发现不是要买欢乐世界, 打电话去客服表示没办法退换, 后来到了广州送给了出租车司机"
207,烧锅炉滴凤凰,2018/2/20,"小孩没到身高标准, 长隆欢乐世界可以退, 携程不让退, 差评"
208,龙珠直播龙里,2018/2/6,"糟心的取票, 人工取票的经验不足折腾很久都没取出来, 最后还是到机子上取的, 很不愉快的一次经历"
209,M25****8648,2018/1/3,"因为改行程了, 提前定的票, 在游玩前一天也不能退"
210,罗马庄园韩信,2018/3/16,"最憋屈的一次, 人多到爆, 果然优惠没好货"
211,林州黄巢,2019/9/2,"这安保服务态度给满分, 去, 的"
212,M22****7211,2017/10/30,"不开心, 门票没拿, 还不可以退款"
213,安杰拉戴柔弱,2018/3/25,"太不好了, 免费好, 游乐设施档次不够花车就一个车头, 山寨"
214,M17****424,2017/6/26,"天公不作美, 下大雨, 没得玩, 可惜了"
215,神烦的乖鱼,2017/11/6,"排队的人惊人, 总共只玩了三个项目"
216,_WeCh****102313,2017/7/23,"一点都不好玩, 刚进去就下雨了, 还一直下个不停"
217,_WeCh****102313,2017/7/23,"不好玩, 刚进去就下雨了, 还一直下个不停"
218,_WeCh****08970,2017/6/30,"反正觉得不值, 太贵了, 哪里都需要排队"
219,_WeCh****71241,2017/10/26,"什麼都沒開, 失望透了"
220,M16****432,2017/12/3,坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑坑
221,M25****8657,2017/12/26,"好无语, 下次的餐票, 变为了门票"
222,Mondeo_,2017/11/20,"买错了, 竟然不能退票, 真无语"
223,M39****427,2017/1/31,"一句话就能点评, 长隆排队世界, 千万别节假日去, 排三个半小时就玩两个项目, 带小朋友性价比不高, 好玩刺激的小朋友都玩不了, 如十环过山车, 垂直过山车等"
224,_WeCh****124494,2017/10/29,"什么破地方, 坑人, 一天都在排队, 还一张, 排队门票卖, 一张, 排队排了我, 个小时, 游玩两分钟, 以后都不会再来了, 不会再来了"
225,来润清淘宝网店,2017/5/2,"太贵了, 游玩太坑, 太危险了"
226,_WeCh****64960,2016/10/29,"人, 全尼玛是人, 一天只能玩三个项目, 全部时间都用来排队, 真的是受够了, 花钱买难受, 人太多的时候就在买票的时候提醒啊, 这样就可以选其他日期买票, 或者限制买票人数, 真的是从来不会考虑游客感受, 排队无聊的要死, 除了玩手机什么都干不了"
227,M61****414,2017/5/22,"差, 非常差, 不办退票, 这样给人带来不便, 万一下雨呢"
228,_CFT01****1467782,2016/7/18,"简直无语, 里面连个, 都没有, 门口就一个, 跟保安说出去取个钱去买雨衣, 保安说里面可以微信支付, 冒着太阳走那么远结果人家说只收现金, 你们工作人员还能再逗一点吗, 玩了一个项目就回去了, 差评"
229,M40****954,2017/10/15,"很多人, 两个钟玩了一个游戏, 便宜不是好东西"
230,_WeCh****98853,2017/11/5,"很差, 點不能進, 還不能退"
231,M40****241,2017/11/8,"取票处故意提早下班, 买了两次都拿不到票"
232,oKun,2017/10/29,"人太多了, 一个队排了, 个多小时"
233,L丸子,2017/6/12,不好
234,M24****2404,2017/10/15,"人太多, 排队太多, 没玩到什么, 进去就出来了"
235,M24****2404,2017/10/15,"游戏再好玩, 也排不上对, 听说有直通卡买, 可惜不知道"
236,_WeCh****80066,2017/5/5,"为什么大学生票不能是港澳大学生呢, 真的搞不懂, 进门第一印象就因为这件事弄的不行叻, 不会有下次了"
237,M30****2742,2019/1/24,"第一次在这里订票, 一次就够了, 超级, 的一次网购, 既然可以把尾号的数字发错, 还我在欢乐世界门口浪费了一个半小时, 尾号明明是, 他们既然发成, 这个数字明明就很明显的, 既然还能发错"
238,慌慌张张,2017/4/12,"太差了, 第一是不能退票, 因为下雨, 买的门票不能退也不能改时间, 从头到尾在园里面要被冻僵, 而且很多项目不开, 大家以后千万不要提前买票, 除非第二天一定不会下雨, 第二, 里面很多设施在检修, 而且项目也不多, 真的觉得不值得这个价, 刺激的项目不多, 放了跑男的视频, 觉得是噱头, 没那么夸张, 不刺激"
239,咩大爷丶,2017/3/3,"提前咨询长隆客服, 带小朋友去有没有玩的, 都说小型的大人可以带着一起玩, 最后进去了, 小孩不让玩, 身高限制各种不危险的都不能玩, 严重差评, 欺诈性消费"
240,路西法,2016/11/12,"到达换票后, 进入园区, 发现大量的小学中学的孩子在这包场, 门外没有任何提示, 导致随便玩什么都要等上两小时, 这种进一个便宜的方式让人觉得长隆真垃圾, 上万的学生在里面玩还非要坑其他游客, 以后再也不会光顾, 早上九点多到了, 下午四点才玩上第一个娱乐项目, 没有任何提示, 园内对于成人来讲就三个有意思, 剩下全是儿童娱乐, 毫无新颖乐趣, 感觉是最糟糕的一个游乐场"
241,M47****384,2016/10/18,"根本就没有控制人流量, 排队拿票进园用了一个小时, 强行没收了零食, 每个项目至少都要拍一个小时队, 还故意卖优先插队的票给那些人, 难道我们买的票就是为了提供别人插队的机会"
242,M31****411,2016/6/9,"今天给差评是因为欢乐世界的服务表里不一, 很早就在携程上订了两大两小的门票, 月, 日, 在售票处换门票时售票员在我手机上看到有两张小孩的门票代码, 什么都没问也没说就把小孩大人的票一起兑换了, 然后验票时那个验票员看到我有两张小孩票, 有点惊讶, 但只问了一句, 你是在网上买的票, 也什么都没说, 收了我的两大两小的票, 让我进去了, 进去才发现, 月, 日是欢乐世界六一节活动, 小孩不要票, 不是心疼那几百块钱, 是这种服务意识太差, 这么大个景区还差那几百块, 差评, 差评, 差评, 给长隆景区留下了太不美好的印象"
243,邱磊,2017/3/5,"好多场馆都关闭了, 说是有活动"
244,ka****i,2008/12/19,"给, 程整了, 星期五三点半去到已不卖票, 他们说五点钟就关门所以不卖票, 真气死人"
245,138****2694,2015/3/8,"服务太差, 工作人员和客人吵, 太过份了, 下次不会去"
246,118****356,2015/9/19,"给, 颗星算不错啦, 都是一些垃圾的玩具, 一点安全感都没有, 千万不要玩了"
247,M12****513,2014/10/11,"我用手机想进入网站订票, 怎么都找不购票点"
248,最后的小孩子,2019/3/2,
